,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
74,0.39,0.27,0.09090909090909091,0.41406477969069155,1,0.0308,0.937,0.00227,0.111,0.32,0.698178423655263,304107,evermore (feat. Bon Iver),0.16584601611459265,Evermore
75,0.581,0.619,0.9090909090909091,0.7167347534286548,1,0.0282,0.769,0.000106,0.117,0.645,0.74408906765855,245027,right where you left me - bonus track,0.16584601611459265,Evermore
76,0.592,0.41,0.0,0.2861832506565509,1,0.0397,0.801,1.39e-05,0.09,0.416,0.7945770799994233,254640,it’s time to go - bonus track,0.16584601611459265,Evermore
68,0.537,0.537,0.7272727272727273,0.37080536912751677,1,0.0617,0.819,0.000904,0.142,0.292,0.6358901719937142,275320,coney island (feat. The National),0.16584601611459265,Evermore
47,0.578,0.909,0.6363636363636364,0.925007295010213,1,0.0628,0.0222,0.0,0.333,0.541,0.6075176967547541,200576,Tell Me Why (Taylor’s Version),0.14525514771709938,Fearless
45,0.632,0.773,0.5454545454545454,0.8384155237817333,1,0.0346,0.0623,0.0,0.0885,0.474,0.7156805501492151,231124,You Belong With Me (Taylor’s Version),0.14525514771709938,Fearless
44,0.423,0.517,0.0,0.654508316311643,1,0.0486,0.369,0.0,0.177,0.366,0.9147384052016204,234516,White Horse (Taylor’s Version),0.14525514771709938,Fearless
41,0.559,0.646,0.6363636363636364,0.8563612489057485,1,0.0272,0.116,0.0,0.32,0.289,0.5910932341450053,294419,Fifteen (Taylor’s Version),0.14525514771709938,Fearless
42,0.627,0.792,0.18181818181818182,0.8781733294426612,1,0.031,0.13,3.97e-06,0.0845,0.415,0.6761097415048369,235767,Love Story (Taylor’s Version),0.14525514771709938,Fearless
40,0.569,0.741,0.45454545454545453,0.8306098628538079,1,0.0282,0.0122,0.0,0.333,0.43,0.6078600983233136,241592,Fearless (Taylor’s Version),0.14525514771709938,Fearless
48,0.506,0.444,0.5454545454545454,0.8286402100962941,1,0.0285,0.0538,0.0,0.123,0.241,0.729520781973098,261843,You’re Not Sorry (Taylor’s Version),0.14525514771709938,Fearless
43,0.788,0.571,0.5454545454545454,0.7451123431572805,1,0.0296,0.106,0.0,0.0934,0.797,0.6650663898620301,254255,Hey Stephen (Taylor’s Version),0.14525514771709938,Fearless
49,0.402,0.732,0.45454545454545453,0.8523489932885907,1,0.0484,0.0033,0.0,0.108,0.472,0.8274079840837335,243137,The Way I Loved You (Taylor’s Version),0.14525514771709938,Fearless
46,0.506,0.626,0.09090909090909091,0.7501459002042604,1,0.0287,0.156,0.0,0.228,0.321,0.7805638452777418,263377,Breathe (feat. Colbie Caillat) (Taylor’s Version),0.14525514771709938,Fearless
51,0.642,0.576,0.09090909090909091,0.570834549168369,1,0.0282,0.488,0.0,0.159,0.469,0.6975404754696307,245290,The Best Day (Taylor’s Version),0.14525514771709938,Fearless
52,0.499,0.815,0.45454545454545453,0.8962649547709368,1,0.0341,0.000191,0.0,0.181,0.344,0.5930142871559766,279360,Change (Taylor’s Version),0.14525514771709938,Fearless
53,0.572,0.69,0.18181818181818182,0.740297636416691,1,0.0358,0.0474,0.0,0.0897,0.624,0.8240884909822239,237580,Jump Then Fall (Taylor’s Version),0.14525514771709938,Fearless
54,0.393,0.531,0.45454545454545453,0.7467901955062737,1,0.0329,0.0181,0.0,0.169,0.224,0.9692667560514973,312107,Untouchable (Taylor’s Version),0.14525514771709938,Fearless
55,0.546,0.273,0.8181818181818182,0.520936679311351,1,0.0308,0.819,0.0,0.137,0.271,0.6750248691665586,267833,Forever & Always (Piano Version) (Taylor’s Version),0.14525514771709938,Fearless
56,0.476,0.564,0.18181818181818182,0.7785234899328859,1,0.0269,0.0406,0.0,0.102,0.167,0.7657648890618919,237339,Come In With The Rain (Taylor’s Version),0.14525514771709938,Fearless
57,0.454,0.555,0.18181818181818182,0.7046250364750509,1,0.0283,0.157,0.0,0.343,0.171,0.8664417628995287,263865,Superstar (Taylor’s Version),0.14525514771709938,Fearless
58,0.432,0.873,0.36363636363636365,0.8740881237233732,1,0.0577,0.0279,0.0,0.167,0.629,0.8378746594005451,238444,The Other Side Of The Door (Taylor’s Version),0.14525514771709938,Fearless
59,0.482,0.779,0.6363636363636364,0.8260869565217391,1,0.0409,0.0135,0.0,0.296,0.328,0.817063852486196,241822,Today Was A Fairytale (Taylor’s Version),0.14525514771709938,Fearless
50,0.598,0.821,0.9090909090909091,0.8692734169827838,1,0.0447,0.0231,0.0,0.143,0.673,0.7084612833931636,225328,Forever & Always (Taylor’s Version),0.14525514771709938,Fearless
27,0.567,0.686,0.6363636363636364,0.7448205427487599,1,0.175,0.0317,1.86e-06,0.0732,0.716,0.866989605409224,193147,We Are Never Ever Getting Back Together (Taylor's Version),0.09668755595344673,Red
26,0.511,0.559,0.36363636363636365,0.7121388969944558,1,0.0264,0.0167,0.0,0.113,0.248,0.7727967360119948,244587,I Almost Do (Taylor's Version),0.09668755595344673,Red
25,0.642,0.695,0.6363636363636364,0.782681645754304,1,0.0281,0.000443,1.02e-05,0.0753,0.642,0.6217940400501708,230960,22 (Taylor's Version),0.09668755595344673,Red
20,0.594,0.713,0.8181818181818182,0.8050043770061278,1,0.0503,0.000328,0.0,0.114,0.328,0.7154102331214048,295413,State Of Grace (Taylor's Version),0.09668755595344673,Red
22,0.645,0.593,0.18181818181818182,0.7180478552669973,1,0.0288,0.0344,0.000127,0.13,0.299,0.6434194022749881,242720,Treacherous (Taylor's Version),0.09668755595344673,Red
21,0.516,0.777,0.09090909090909091,0.8346221184709658,0,0.0375,0.00108,1.62e-06,0.0761,0.408,0.6977098741403919,223093,Red (Taylor's Version),0.09668755595344673,Red
28,0.693,0.681,0.0,0.6791654508316312,1,0.025,0.0848,0.0,0.0768,0.663,0.6075068840736416,205787,Stay Stay Stay (Taylor's Version),0.09668755595344673,Red
23,0.584,0.557,0.5454545454545454,0.7278961190545666,1,0.0342,0.0129,0.0,0.0576,0.767,0.8020918933725474,219760,I Knew You Were Trouble (Taylor's Version),0.09668755595344673,Red
