,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
109,0.758,0.491,1.0,0.734884845136563,1,0.138,0.00354,6.5e-06,0.292,0.334,0.7688548611345333,223240,Talk Up (feat. Jay-Z),0.3474326599326599,Scorpion
110,0.708,0.547,0.09090909090909091,0.813266116501502,1,0.314,0.727,0.0,0.159,0.549,0.5577890953788961,226907,Is There More,0.3474326599326599,Scorpion
115,0.807,0.319,0.0,0.79444770553503,0,0.0581,0.133,0.000338,0.101,0.299,0.5997316754171961,182080,Finesse,0.3474326599326599,Scorpion
111,0.687,0.218,0.8181818181818182,0.6084389351196438,0,0.0388,0.85,0.000125,0.106,0.269,0.5884852777496711,206027,Peak,0.3474326599326599,Scorpion
112,0.776,0.482,0.09090909090909091,0.6868202064845826,1,0.0357,0.477,0.0456,0.11,0.134,0.7534411878234604,247893,Summer Games,0.3474326599326599,Scorpion
113,0.764,0.271,0.0,0.8792168778702394,1,0.0414,0.037,0.0,0.175,0.0371,0.6785314100906532,262453,Jaded,0.3474326599326599,Scorpion
114,0.585,0.909,0.7272727272727273,0.8523876937951038,1,0.0707,0.0891,9.7e-05,0.119,0.758,0.5936606443537538,210747,Nice For What,0.3474326599326599,Scorpion
107,0.761,0.598,0.9090909090909091,0.8256275681088361,0,0.182,0.126,0.0,0.0839,0.446,0.8954321112572655,163974,Can’t Take A Joke,0.3474326599326599,Scorpion
86,0.622,0.844,0.9090909090909091,0.9461344566831256,0,0.269,0.165,0.0,0.455,0.12,0.5976967557459311,302493,Ignant Shit (feat. Lil Wayne),0.29903198653198654,e
85,0.756,0.451,1.0,0.6861986809847725,0,0.47,0.588,0.0,0.0942,0.555,0.7828819409311163,188187,November 18th,0.29903198653198654,e
81,0.477,0.422,0.5454545454545454,0.7172058975864094,1,0.174,0.939,0.0361,0.107,0.0815,0.5707893464647487,176173,Lust For Life,0.29903198653198654,e
83,0.565,0.535,0.7272727272727273,0.8978281136701081,1,0.386,0.537,0.0,0.165,0.22,0.8430113813094688,375053,Successful (feat. Trey Songz & Lil Wayne),0.29903198653198654,e
82,0.597,0.696,0.09090909090909091,0.8411657056040883,0,0.0823,0.387,0.000762,0.126,0.427,0.4968014660415753,290787,Houstatlantavegas,0.29903198653198654,e
88,0.545,0.755,0.7272727272727273,0.8881599392286179,1,0.257,0.66,0.0,0.209,0.481,0.674821335551883,230707,Say What's Real,0.29903198653198654,e
84,0.794,0.717,0.8181818181818182,0.9160940575256379,0,0.0325,0.00454,0.301,0.146,0.937,0.7213546643881562,234173,Let’s Call It Off (feat. Peter Bjorn and John),0.29903198653198654,e
89,0.76,0.887,1.0,0.9066675874451849,0,0.038,0.107,0.0242,0.668,0.783,0.6949344366120649,230493,Little Bit (feat. Lykke Li),0.29903198653198654,e
87,0.565,0.502,1.0,0.8827733848969304,0,0.0793,0.362,2.32e-06,0.164,0.332,0.6313085320471742,193973,A Night Off (feat. Lloyd),0.29903198653198654,e
91,0.775,0.906,0.18181818181818182,0.9790407789786264,0,0.337,0.159,0.0,0.773,0.841,0.8061767119745467,209960,Unstoppable (feat. Santigold & Lil Wayne),0.29903198653198654,e
92,0.433,0.82,0.09090909090909091,0.9676461448154415,1,0.329,0.00371,0.0,0.0852,0.405,0.5700660693071904,382267,Uptown (feat. Bun B & Lil Wayne),0.29903198653198654,e
93,0.691,0.498,0.0,0.8785608231759953,0,0.144,0.191,6.73e-06,0.107,0.534,0.5997241803171177,262040,Sooner Than Later,0.29903198653198654,e
94,0.456,0.509,0.18181818181818182,0.8617105762922551,1,0.0895,0.205,0.000652,0.122,0.239,0.7952113805599589,139587,Bria's Interlude (feat. Omarion),0.29903198653198654,e
95,0.468,0.782,1.0,0.7892337971755119,0,0.898,0.812,1.79e-05,0.107,0.24,0.8419320868981903,243720,The Calm,0.29903198653198654,e
96,0.393,0.0878,0.45454545454545453,0.3291322813438763,1,0.053,0.989,0.856,0.316,0.122,0.9391472824640891,174400,Outro (feat. Chilly Gonzales),0.29903198653198654,e
97,0.413,0.497,0.5454545454545454,0.7638203100721661,1,0.0736,0.636,0.0,0.179,0.368,0.664616756795245,213493,Brand New,0.29903198653198654,e
98,0.393,0.852,0.5454545454545454,0.9972721936397225,1,0.0726,0.0193,0.0,0.291,0.15,0.6443649963836141,332547,Congratulations,0.29903198653198654,e
90,0.441,0.929,0.45454545454545453,1.0,0,0.337,0.203,0.0,0.165,0.546,0.8523277907068254,257680,Best I Ever Had,0.29903198653198654,e
70,0.743,0.66,0.36363636363636365,0.9101205068885744,0,0.418,0.115,0.0,0.101,0.549,0.9633901836674273,240218,4pm in Calabasas,0.26346801346801346,d
69,0.673,0.81,0.7272727272727273,0.9449604640723732,1,0.36,0.0322,0.0,0.133,0.564,0.8661525028012936,266325,Draft Day,0.26346801346801346,d
68,0.733,0.361,0.09090909090909091,0.6916542937053278,1,0.135,0.348,0.000285,0.0942,0.0361,0.5993943959136714,353698,Days in The East,0.26346801346801346,d
64,0.423,0.587,0.5454545454545454,0.8468284934912469,1,0.529,0.765,0.0,0.114,0.33,0.9195438482092332,253803,Dreams Money Can Buy,0.26346801346801346,d
66,0.789,0.404,0.09090909090909091,0.7871275163150444,1,0.23,0.205,0.0,0.219,0.472,0.7011778549773086,235566,How Bout Now,0.26346801346801346,d
65,0.631,0.788,0.36363636363636365,0.8293221919132627,0,0.102,0.371,0.000317,0.108,0.544,0.8349916242256624,240957,The Motion,0.26346801346801346,d
